Tipo de obra,Actividad
Faja vial - paisajismo y servicios generales,Riego de áreas verdes
Faja vial - paisajismo y servicios generales,Retiro manual de basura y desechos
Faja vial - paisajismo y servicios generales,Retiro y disposición de escombros
Faja vial - paisajismo y servicios generales,Borrado de grafitis
Faja vial - paisajismo y servicios generales,Retiro de propaganda no autorizada
Faja vial - paisajismo y servicios generales,Conservación de casetas de paraderos
Faja vial - paisajismo y servicios generales,Reposición de paraderos de buses
Faja vial - paisajismo y servicios generales,Mantenimiento de pantallas acústicas
Faja vial - paisajismo y servicios generales,Reposición de pantallas acústicas
Faja vial - paisajismo y servicios generales,Mantenimiento de accesos y áreas de servicio
Faja vial - paisajismo y servicios generales,Mantenimiento de edificios y recintos operacionales
Hormigones y obras civiles,Construcción de fundaciones de hormigón
Hormigones y obras civiles,Construcción de pedestales de hormigón
Hormigones y obras civiles,Construcción de muros de hormigón armado
Hormigones y obras civiles,Construcción de losas de hormigón armado
Hormigones y obras civiles,Enfierradura para hormigón armado
Hormigones y obras civiles,Moldajes para obras de hormigón
Hormigones y obras civiles,Hormigonado de elementos estructurales
Hormigones y obras civiles,Reparación de hormigones
Hormigones y obras civiles,Inyección de grietas en hormigón
Hormigones y obras civiles,Reparación de grietas en hormigón
Hormigones y obras civiles,Reparación de mampostería de piedra
Hormigones y obras civiles,Construcción de aceras de hormigón
Hormigones y obras civiles,Reposición de soleras
Hormigones y obras civiles,Construcción de cámaras y nichos de hormigón
Hormigones y obras civiles,Construcción de barreras de hormigón tipo New Jersey
Hormigones y obras civiles,Suministro e instalación de barreras prefabricadas de hormigón
Hormigones y obras civiles,Alineamiento y nivelación de barreras de hormigón
Hormigones y obras civiles,Montaje de estructuras metálicas menores
Hormigones y obras civiles,Soldadura y reparación metalmecánica
Hormigones y obras civiles,Pintura de estructuras metálicas
Iluminación y mantenimiento eléctrico,Inspección de luminarias viales
Iluminación y mantenimiento eléctrico,Limpieza de luminarias
Iluminación y mantenimiento eléctrico,Reposición de luminarias viales
Iluminación y mantenimiento eléctrico,Recambio de luminarias a tecnología LED
Iluminación y mantenimiento eléctrico,Mantenimiento preventivo de luminarias
Iluminación y mantenimiento eléctrico,Mantenimiento correctivo de luminarias
Iluminación y mantenimiento eléctrico,Hincado e instalación de postes de iluminación
Iluminación y mantenimiento eléctrico,Aplome y reparación de postes de iluminación
Iluminación y mantenimiento eléctrico,Pintura y protección de postes metálicos
Iluminación y mantenimiento eléctrico,Tendido de canalizaciones eléctricas
Iluminación y mantenimiento eléctrico,Tendido y reposición de cableado eléctrico
Iluminación y mantenimiento eléctrico,Construcción de cámaras eléctricas
Iluminación y mantenimiento eléctrico,Mantenimiento de tableros eléctricos
Iluminación y mantenimiento eléctrico,Recambio de tableros eléctricos
Iluminación y mantenimiento eléctrico,Mantenimiento de transformadores
Iluminación y mantenimiento eléctrico,Mantenimiento de generadores
Iluminación y mantenimiento eléctrico,Mantenimiento de UPS y bancos de baterías
Iluminación y mantenimiento eléctrico,Medición de aislación - tensión y puesta a tierra
Iluminación y mantenimiento eléctrico,Reparación y reposición de puesta a tierra
Iluminación y mantenimiento eléctrico,Mantenimiento de sistemas eléctricos de plazas de peaje
Movimiento de tierras y capas granulares,Despeje y escarpe de terreno
Movimiento de tierras y capas granulares,Excavación común
Movimiento de tierras y capas granulares,Excavación en roca
Movimiento de tierras y capas granulares,Retiro y transporte de material excedente
Movimiento de tierras y capas granulares,Terraplén con material de empréstito
Movimiento de tierras y capas granulares,Relleno estructural compactado
Movimiento de tierras y capas granulares,Mejoramiento de subrasante
Movimiento de tierras y capas granulares,Preparación y compactación de subrasante
Movimiento de tierras y capas granulares,Suministro y colocación de subbase granular
Movimiento de tierras y capas granulares,Suministro y colocación de base granular
Movimiento de tierras y capas granulares,Estabilización de suelos
Movimiento de tierras y capas granulares,Perfilado y compactación de caminos granulares
Movimiento de tierras y capas granulares,Conservación de calles de servicio o accesos granulares
Movimiento de tierras y capas granulares,Control de densidad y compactación
Pavimentos asfálticos,Fresado de carpeta asfáltica
Pavimentos asfálticos,Microfresado de carpeta asfáltica
Pavimentos asfálticos,Suministro y colocación de mezcla asfáltica en caliente
Pavimentos asfálticos,Colocación de carpeta asfáltica de rodadura
Pavimentos asfálticos,Bacheo superficial con mezcla asfáltica
Pavimentos asfálticos,Bacheo profundo con mezcla asfáltica en caliente
Pavimentos asfálticos,Bacheo asfáltico sobre asfalto
Pavimentos asfálticos,Microaglomerado en frío
Pavimentos asfálticos,Microaglomerado en caliente
Pavimentos asfálticos,Recapado asfáltico
Pavimentos asfálticos,Reposición localizada de pavimento asfáltico
Pavimentos asfálticos,Imprimación bituminosa
Pavimentos asfálticos,Riego de liga
Pavimentos asfálticos,Suministro y colocación de geogrilla
Pavimentos asfálticos,Sellado de grietas en pavimento asfáltico
Pavimentos asfálticos,Rejuvenecimiento de pavimento y bermas
Pavimentos asfálticos,Asfaltado de bermas
Pavimentos asfálticos,Regularización de carpeta asfáltica
Pavimentos asfálticos,Compactación de mezcla asfáltica
Pavimentos asfálticos,Control de calidad de mezcla y compactación asfáltica
Pavimentos de hormigón,Reposición de losas de hormigón
Pavimentos de hormigón,Cepillado de losas de hormigón
Pavimentos de hormigón,Estabilización de losas mediante inyección
Pavimentos de hormigón,Reparación de espesor parcial de losa
Pavimentos de hormigón,Reparación de espesor total de losa
Pavimentos de hormigón,Sellado de juntas en pavimento de hormigón
Pavimentos de hormigón,Sellado de grietas en pavimento de hormigón
Pavimentos de hormigón,Reparación de desconches en hormigón
Pavimentos de hormigón,Demolición controlada de pavimento de hormigón
Pavimentos de hormigón,Construcción de pavimento de hormigón
Pavimentos de hormigón,Curado de hormigón de pavimento
Pavimentos de hormigón,Corte de juntas en pavimento de hormigón
Pavimentos de hormigón,Instalación de barras de traspaso y amarre
Pavimentos de hormigón,Control de calidad y resistencia del hormigón
Peajes - ITS y telecomunicaciones,Mantenimiento rutinario de sistemas de peaje
Peajes - ITS y telecomunicaciones,Mantenimiento de equipos de vía y carril
Peajes - ITS y telecomunicaciones,Mantenimiento de pórticos free flow
Peajes - ITS y telecomunicaciones,Mantenimiento de sensores y antenas de cobro
Peajes - ITS y telecomunicaciones,Mantenimiento de gabinetes y shelters técnicos
Peajes - ITS y telecomunicaciones,Mantenimiento de paneles de mensajería variable
Peajes - ITS y telecomunicaciones,Mantenimiento de cámaras CCTV de ruta
Peajes - ITS y telecomunicaciones,Mantenimiento de sistemas de conteo de tráfico
Peajes - ITS y telecomunicaciones,Mantenimiento de estaciones de pesaje
Peajes - ITS y telecomunicaciones,Calibración de equipos de pesaje
Peajes - ITS y telecomunicaciones,Mantenimiento de fibra óptica
Peajes - ITS y telecomunicaciones,Reparación de cableado de comunicaciones
Peajes - ITS y telecomunicaciones,Mantenimiento de radioenlaces y comunicaciones
Peajes - ITS y telecomunicaciones,Renovación tecnológica de sistemas de peaje
Puentes - pasos y pasarelas,Mantenimiento de juntas de dilatación
Puentes - pasos y pasarelas,Reemplazo de sellos de juntas de dilatación
Puentes - pasos y pasarelas,Conservación de barandas de puentes
Puentes - pasos y pasarelas,Reparación de barandas de puentes
Puentes - pasos y pasarelas,Mantenimiento del drenaje de puentes
Puentes - pasos y pasarelas,Limpieza de tableros y elementos estructurales
Puentes - pasos y pasarelas,Reparación de elementos de hormigón en puentes
Puentes - pasos y pasarelas,Reparación de grietas en estructuras de hormigón
Puentes - pasos y pasarelas,Reparación de mallas antivandálicas
Puentes - pasos y pasarelas,Reposición de mallas antivandálicas
Puentes - pasos y pasarelas,Montaje y reparación de escaleras de pasarelas
Puentes - pasos y pasarelas,Pintura y protección anticorrosiva de estructuras
Puentes - pasos y pasarelas,Reparación de apoyos y elementos secundarios
Puentes - pasos y pasarelas,Conservación mayor de puentes y estructuras
Señalización horizontal y demarcación vial,Demarcación de líneas continuas
Señalización horizontal y demarcación vial,Demarcación de líneas segmentadas
Señalización horizontal y demarcación vial,Demarcación de línea de eje definitoria de pista
Señalización horizontal y demarcación vial,Demarcación de líneas laterales
Señalización horizontal y demarcación vial,Demarcación de símbolos - achurados y leyendas
Señalización horizontal y demarcación vial,Demarcación termoplástica de pavimento
Señalización horizontal y demarcación vial,Demarcación acrílica de pavimento
Señalización horizontal y demarcación vial,Borrado de demarcación existente
Señalización horizontal y demarcación vial,Preparación y limpieza de superficie para demarcación
Señalización horizontal y demarcación vial,Instalación de tachas reflectantes
Señalización horizontal y demarcación vial,Reposición de tachas y tachones reflectantes
Señalización horizontal y demarcación vial,Limpieza de tachas y elementos reflectantes
Señalización horizontal y demarcación vial,Control de retrorreflectancia de demarcación
Señalización vertical,Limpieza de señales verticales
Señalización vertical,Inspección de retrorreflectancia de señales
Señalización vertical,Reposición de señales verticales
Señalización vertical,Instalación de señales verticales
Señalización vertical,Remoción de señales verticales
Señalización vertical,Reparación de placas de señalización
Señalización vertical,Reemplazo de lámina reflectante
Señalización vertical,Hincado de postes para señales viales
Señalización vertical,Instalación de postes y soportes de señales
Señalización vertical,Aplome y ajuste de postes de señales
Señalización vertical,Construcción de fundaciones para señales
Señalización vertical,Instalación de marcos portaseñal
Señalización vertical,Montaje de pórticos y banderas portaseñal
Señalización vertical,Instalación y mantención de señalización vial transitoria
Sistemas de contención y seguridad vial,Hincado de postes de barrera metálica
Sistemas de contención y seguridad vial,Instalación de barrera metálica de contención
Sistemas de contención y seguridad vial,Reparación de barrera metálica de contención
Sistemas de contención y seguridad vial,Reposición de defensas camineras
Sistemas de contención y seguridad vial,Alineamiento y ajuste de defensa metálica
Sistemas de contención y seguridad vial,Instalación de terminal extrusor
Sistemas de contención y seguridad vial,Reposición de terminales de barrera
Sistemas de contención y seguridad vial,Instalación de amortiguador de impacto
Sistemas de contención y seguridad vial,Mantenimiento de amortiguadores de impacto
Sistemas de contención y seguridad vial,Instalación de barreras New Jersey
Sistemas de contención y seguridad vial,Instalación de hitos de vértice
Sistemas de contención y seguridad vial,Instalación de delineadores y balizas
Sistemas de contención y seguridad vial,Instalación de vallas peatonales
Sistemas de contención y seguridad vial,Reparación de cercos y mallas de cierre
Sistemas de contención y seguridad vial,Instalación de cierros perimetrales
Taludes y contención,Limpieza y reperfilado de taludes
Taludes y contención,Estabilización de taludes
Taludes y contención,Construcción de muros de contención
Taludes y contención,Instalación de mallas de protección de taludes
Taludes y contención,Instalación de pernos de anclaje
Taludes y contención,Hormigón proyectado en taludes
Taludes y contención,Construcción de banquetas y bermas de talud
Taludes y contención,Control de erosión superficial
Taludes y contención,Retiro de material producto de derrumbes
Taludes y contención,Mantenimiento de obras de contención
Túneles y sistemas electromecánicos,Mantenimiento de ventiladores de túnel
Túneles y sistemas electromecánicos,Recambio de ventiladores de túnel
Túneles y sistemas electromecánicos,Mantenimiento de bombas de drenaje e hidrantes
Túneles y sistemas electromecánicos,Mantenimiento de sistema de control de ventilación
Túneles y sistemas electromecánicos,Mantenimiento de señalización variable
Túneles y sistemas electromecánicos,Mantenimiento de postes SOS IP
Túneles y sistemas electromecánicos,Mantenimiento de sistema DAI
Túneles y sistemas electromecánicos,Mantenimiento de anemómetros y catavientos
Túneles y sistemas electromecánicos,Mantenimiento de luminancímetros
Túneles y sistemas electromecánicos,Mantenimiento de sistema de megafonía
Túneles y sistemas electromecánicos,Mantenimiento de sistema CCTV
Túneles y sistemas electromecánicos,Mantenimiento de servidores y sistemas de control
Túneles y sistemas electromecánicos,Mantenimiento de sistema de detección y datos de tráfico
Túneles y sistemas electromecánicos,Mantenimiento de sistema de barreras
Túneles y sistemas electromecánicos,Mantenimiento de sistema contra incendios
Túneles y sistemas electromecánicos,Mantenimiento de salidas y equipos de emergencia
